  time (s)     quality   quality (bps)   throughput (kbps)  delay (ms)
       0.4        720p         2500000                8651         330
       2.7        720p         2500000              101959         304
       5.0        720p         2500000              105404         294
       7.3        720p         2500000              114174         272
       9.6        720p         2500000              111998         277
      11.9        720p         2500000              109646         283
      14.2        720p         2500000              114557         271
      16.6        720p         2500000              110338         281
      18.9        720p         2500000              104030         298
      21.2        720p         2500000              109345         284
      23.5        720p         2500000              122000         254
      25.8        144p          250000              108770         285
      28.0        144p          250000               13135         217
      30.3        144p          250000               12657         225
      32.5        360p          800000               13252         215
      34.8        360p          800000               28167         229
      37.1        720p         2500000               26684         241
      39.4        720p         2500000              115136         270
      41.7        720p         2500000              108650         286
      44.0        720p         2500000              105267         295
      46.3        720p         2500000              109205         284
      48.6        720p         2500000              106249         292
      51.0        360p          800000              115178         269
      53.2        144p          250000               26618         242
      55.5        144p          250000               12646         226
      57.7        144p          250000               12701         225
      60.0        144p          250000               11899         240
      62.3        360p          800000               11729         243
      64.5        360p          800000               26875         240
      66.8        360p          800000               27643         233
      69.1        360p          800000               27017         238
      71.3        360p          800000               26897         239
      73.6        360p          800000               26851         240
      75.8        360p          800000               26684         241
      78.1        360p          800000               26919         239
      80.4        360p          800000               27173         237
      82.6        720p         2500000               28615         225
      84.9        720p         2500000              115421         269
      87.2        720p         2500000              114614         271
      89.5        720p         2500000              109845         283
      91.8        720p         2500000              109047         285
